"Cluster","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","GO_category"
"AD_cluster3_nodes","GO:0006091","generation of precursor metabolites and energy","64/597","442/13115",9.33e-17,4.46e-14,4.39e-14,"CIAPIN1/MDH1/NDUFS1/GLRX2/OPN3/NDUFB2/DLD/FH/IDH3B/PRPS2/PGK1/CHCHD2/NDUFC1/TPI1/COX7A2/GNPDA1/COQ10B/ATP5PB/SDHB/NDUFB3/CISD1/NDUFA1/COX6B1/NDUFA5/COX7B/PDHA1/MRPS36/CCNB1/LDHA/COX5B/ISCU/NDUFB5/GABARAPL1/ETFBKMT/NDUFA9/UQCRC2/DLAT/NDUFC2/SLC25A4/ATP5F1A/UQCRB/COX6C/NDUFB6/ATP5F1C/GHITM/COX11/ATP5PD/PDHB/NDUFS5/UQCRFS1/UGP2/CYCS/UQCRH/PDE12/BNIP3/EPM2AIP1/UQCR10/PPP1R2/NDUFA12/LYRM7/NDUFA4/GFPT1/ETFRF1/NDUFS3",64,"Mitochondrial energy production"
"AD_cluster3_nodes","GO:0019646","aerobic electron transport chain","27/597","86/13115",4.26e-16,1.81e-13,1.78e-13,"NDUFS1/NDUFB2/DLD/NDUFC1/COX7A2/SDHB/NDUFB3/NDUFA1/COX6B1/NDUFA5/COX7B/COX5B/ISCU/NDUFB5/NDUFA9/UQCRC2/NDUFC2/UQCRB/COX6C/NDUFB6/NDUFS5/UQCRFS1/CYCS/UQCRH/UQCR10/NDUFA4/NDUFS3",27,"Mitochondrial energy production"
"AD_cluster3_nodes","GO:0022900","electron transport chain","36/597","160/13115",7.45e-16,2.85e-13,2.8e-13,"CIAPIN1/NDUFS1/GLRX2/NDUFB2/DLD/IDH3B/CHCHD2/NDUFC1/COX7A2/SDHB/NDUFB3/NDUFA1/COX6B1/NDUFA5/COX7B/CCNB1/COX5B/ISCU/NDUFB5/NDUFA9/UQCRC2/NDUFC2/UQCRB/COX6C/NDUFB6/GHITM/COX11/NDUFS5/UQCRFS1/CYCS/UQCRH/UQCR10/NDUFA12/NDUFA4/ETFRF1/NDUFS3",36,"Mitochondrial energy production"
"AD_cluster3_nodes","GO:0015986","proton motive force-driven ATP synthesis","21/597","74/13115",7.38e-12,2.56e-09,2.53e-09,"NDUFS1/NDUFB2/NDUFC1/ATP6V1A/ATP5PB/SDHB/NDUFB3/NDUFA1/NDUFA5/NDUFB5/NDUFA9/NDUFC2/ATP5F1A/ATP5MJ/NDUFB6/ATP5F1C/ATP5PD/NDUFS5/ATP5MK/NDUFA12/NDUFS3",21,"Mitochondrial energy production"
"AD_cluster3_nodes","GO:0042776","proton motive force-driven mitochondrial ATP synthesis","18/597","66/13115",4.85e-10,1.54e-07,1.52e-07,"NDUFS1/NDUFB2/NDUFC1/ATP5PB/SDHB/NDUFB3/NDUFA1/NDUFA5/NDUFB5/NDUFA9/NDUFC2/ATP5F1A/NDUFB6/ATP5F1C/ATP5PD/NDUFS5/NDUFA12/NDUFS3",18,"Mitochondrial energy production"
"AD_cluster3_nodes","GO:0006754","ATP biosynthetic process","21/597","98/13115",2.22e-09,6.52e-07,6.42e-07,"NDUFS1/NDUFB2/NDUFC1/ATP6V1A/ATP5PB/SDHB/NDUFB3/NDUFA1/NDUFA5/NDUFB5/NDUFA9/NDUFC2/ATP5F1A/ATP5MJ/NDUFB6/ATP5F1C/ATP5PD/NDUFS5/ATP5MK/NDUFA12/NDUFS3",21,"Mitochondrial energy production"
"AD_cluster3_nodes","GO:0009206","purine ribonucleoside triphosphate biosynthetic process","22/597","108/13115",2.53e-09,6.91e-07,6.81e-07,"NDUFS1/NDUFB2/NDUFC1/ATP6V1A/ATP5PB/SDHB/NDUFB3/NDUFA1/NDUFA5/NDUFB5/NDUFA9/NDUFC2/ATP5F1A/ATP5MJ/NDUFB6/ATP5F1C/ATP5PD/NDUFS5/ATP5MK/NDUFA12/NDUFS3/NME1",22,"Mitochondrial energy production"
"AD_cluster3_nodes","GO:0009145","purine nucleoside triphosphate biosynthetic process","22/597","109/13115",3.04e-09,7.66e-07,7.55e-07,"NDUFS1/NDUFB2/NDUFC1/ATP6V1A/ATP5PB/SDHB/NDUFB3/NDUFA1/NDUFA5/NDUFB5/NDUFA9/NDUFC2/ATP5F1A/ATP5MJ/NDUFB6/ATP5F1C/ATP5PD/NDUFS5/ATP5MK/NDUFA12/NDUFS3/NME1",22,"Mitochondrial energy production"
"AD_cluster3_nodes","GO:0006120","mitochondrial electron transport, NADH to ubiquinone","15/597","50/13115",3.21e-09,7.66e-07,7.55e-07,"NDUFS1/NDUFB2/DLD/NDUFC1/NDUFB3/NDUFA1/NDUFA5/ISCU/NDUFB5/NDUFA9/NDUFC2/NDUFB6/NDUFS5/NDUFA4/NDUFS3",15,"Mitochondrial energy production"
"AD_cluster3_nodes","GO:0009152","purine ribonucleotide biosynthetic process","30/597","198/13115",6.01e-09,1.35e-06,1.33e-06,"NDUFS1/GUCY1B1/NDUFB2/DLD/PRPS2/NDUFC1/ATP6V1A/ATP5PB/SDHB/NDUFB3/NDUFA1/NDUFA5/PPT1/PDHA1/NDUFB5/PPCDC/NDUFA9/DLAT/NDUFC2/ATP5F1A/ATP5MJ/NDUFB6/ATP5F1C/ATP5PD/PDHB/NDUFS5/ATP5MK/NDUFA12/NDUFS3/NME1",30,"Mitochondrial energy production"
"AD_cluster3_nodes","GO:0009260","ribonucleotide biosynthetic process","31/597","211/13115",7.13e-09,1.47e-06,1.45e-06,"NDUFS1/GUCY1B1/NDUFB2/DLD/PRPS2/NDUFC1/ATP6V1A/ATP5PB/SDHB/NDUFB3/NDUFA1/NDUFA5/PPT1/PDHA1/RFK/NDUFB5/PPCDC/NDUFA9/DLAT/NDUFC2/ATP5F1A/ATP5MJ/NDUFB6/ATP5F1C/ATP5PD/PDHB/NDUFS5/ATP5MK/NDUFA12/NDUFS3/NME1",31,"Mitochondrial energy production"
"AD_cluster3_nodes","GO:0009201","ribonucleoside triphosphate biosynthetic process","22/597","114/13115",7.33e-09,1.47e-06,1.45e-06,"NDUFS1/NDUFB2/NDUFC1/ATP6V1A/ATP5PB/SDHB/NDUFB3/NDUFA1/NDUFA5/NDUFB5/NDUFA9/NDUFC2/ATP5F1A/ATP5MJ/NDUFB6/ATP5F1C/ATP5PD/NDUFS5/ATP5MK/NDUFA12/NDUFS3/NME1",22,"Mitochondrial energy production"
"AD_cluster3_nodes","GO:0046390","ribose phosphate biosynthetic process","31/597","217/13115",1.4e-08,2.68e-06,2.64e-06,"NDUFS1/GUCY1B1/NDUFB2/DLD/PRPS2/NDUFC1/ATP6V1A/ATP5PB/SDHB/NDUFB3/NDUFA1/NDUFA5/PPT1/PDHA1/RFK/NDUFB5/PPCDC/NDUFA9/DLAT/NDUFC2/ATP5F1A/ATP5MJ/NDUFB6/ATP5F1C/ATP5PD/PDHB/NDUFS5/ATP5MK/NDUFA12/NDUFS3/NME1",31,"Mitochondrial energy production"
"AD_cluster3_nodes","GO:0009142","nucleoside triphosphate biosynthetic process","22/597","125/13115",4.25e-08,7.74e-06,7.62e-06,"NDUFS1/NDUFB2/NDUFC1/ATP6V1A/ATP5PB/SDHB/NDUFB3/NDUFA1/NDUFA5/NDUFB5/NDUFA9/NDUFC2/ATP5F1A/ATP5MJ/NDUFB6/ATP5F1C/ATP5PD/NDUFS5/ATP5MK/NDUFA12/NDUFS3/NME1",22,"Mitochondrial energy production"
"AD_cluster3_nodes","GO:1902600","proton transmembrane transport","21/597","117/13115",6.07e-08,1.05e-05,1.04e-05,"SLC25A3/ATP6V1D/ATP6V1A/ATP5PB/ATP6V0B/COX6B1/ATP6V1E1/COX7B/COX5B/ATP1B1/ATP6V1B2/SLC25A4/ATP5F1A/ATP6V1C1/ATP5F1C/ATP5PD/UQCRFS1/UQCRH/ATP6AP2/UQCR10/NDUFA4",21,"Mitochondrial energy production"
"AD_cluster3_nodes","GO:0009150","purine ribonucleotide metabolic process","43/597","398/13115",1.19e-07,1.98e-05,1.95e-05,"NDUFS1/GUCY1B1/NDUFB2/DLD/GMPR2/PRPS2/PGK1/NDUFC1/TPI1/HMGCS1/ATP6V1A/ATP5PB/SDHB/NDUFB3/NUDT10/NDUFA1/NDUFA5/PPT1/PDHA1/LDHA/NDUFB5/PPCDC/NDUFA9/ATP1B1/ATP6V1B2/DLAT/OXSM/NDUFC2/ATP5F1A/ATP5MJ/NDUFB6/ATP5F1C/ATP5PD/PDHB/NDUFS5/HINT1/NUDT4/ATP5MK/NDUFA12/NUDT11/ENTPD4/NDUFS3/NME1",43,"Mitochondrial energy production"
"AD_cluster3_nodes","GO:0009259","ribonucleotide metabolic process","44/597","415/13115",1.45e-07,2.28e-05,2.24e-05,"NDUFS1/GUCY1B1/NDUFB2/DLD/GMPR2/PRPS2/PGK1/NDUFC1/TPI1/HMGCS1/ATP6V1A/ATP5PB/SDHB/NDUFB3/NUDT10/NDUFA1/NDUFA5/PPT1/PDHA1/LDHA/RFK/NDUFB5/PPCDC/NDUFA9/ATP1B1/ATP6V1B2/DLAT/OXSM/NDUFC2/ATP5F1A/ATP5MJ/NDUFB6/ATP5F1C/ATP5PD/PDHB/NDUFS5/HINT1/NUDT4/ATP5MK/NDUFA12/NUDT11/ENTPD4/NDUFS3/NME1",44,"Mitochondrial energy production"
"AD_cluster3_nodes","GO:0009165","nucleotide biosynthetic process","33/597","266/13115",1.55e-07,2.28e-05,2.24e-05,"NDUFS1/GUCY1B1/KARS1/AK6/NDUFB2/DLD/PRPS2/NDUFC1/ATP6V1A/ATP5PB/SDHB/NDUFB3/NDUFA1/NDUFA5/PPT1/PDHA1/RFK/NDUFB5/PPCDC/NDUFA9/DLAT/NDUFC2/ATP5F1A/ATP5MJ/NDUFB6/ATP5F1C/ATP5PD/PDHB/NDUFS5/ATP5MK/NDUFA12/NDUFS3/NME1",33,"Mitochondrial energy production"
"AD_cluster3_nodes","GO:1901293","nucleoside phosphate biosynthetic process","33/597","266/13115",1.55e-07,2.28e-05,2.24e-05,"NDUFS1/GUCY1B1/KARS1/AK6/NDUFB2/DLD/PRPS2/NDUFC1/ATP6V1A/ATP5PB/SDHB/NDUFB3/NDUFA1/NDUFA5/PPT1/PDHA1/RFK/NDUFB5/PPCDC/NDUFA9/DLAT/NDUFC2/ATP5F1A/ATP5MJ/NDUFB6/ATP5F1C/ATP5PD/PDHB/NDUFS5/ATP5MK/NDUFA12/NDUFS3/NME1",33,"Mitochondrial energy production"
"AD_cluster3_nodes","GO:0019693","ribose phosphate metabolic process","44/597","423/13115",2.5e-07,3.54e-05,3.49e-05,"NDUFS1/GUCY1B1/NDUFB2/DLD/GMPR2/PRPS2/PGK1/NDUFC1/TPI1/HMGCS1/ATP6V1A/ATP5PB/SDHB/NDUFB3/NUDT10/NDUFA1/NDUFA5/PPT1/PDHA1/LDHA/RFK/NDUFB5/PPCDC/NDUFA9/ATP1B1/ATP6V1B2/DLAT/OXSM/NDUFC2/ATP5F1A/ATP5MJ/NDUFB6/ATP5F1C/ATP5PD/PDHB/NDUFS5/HINT1/NUDT4/ATP5MK/NDUFA12/NUDT11/ENTPD4/NDUFS3/NME1",44,"Mitochondrial energy production"
"AD_cluster3_nodes","GO:0010257","NADH dehydrogenase complex assembly","14/597","59/13115",2.81e-07,3.7e-05,3.64e-05,"NDUFS1/NDUFB2/NDUFC1/NDUFB3/NDUFA1/NDUFA5/NDUFB5/NDUFA9/NDUFC2/NDUFB6/NDUFS5/TMEM126B/NDUFA12/NDUFS3",14,"Mitochondrial energy production"
"AD_cluster3_nodes","GO:0032981","mitochondrial respiratory chain complex I assembly","14/597","59/13115",2.81e-07,3.7e-05,3.64e-05,"NDUFS1/NDUFB2/NDUFC1/NDUFB3/NDUFA1/NDUFA5/NDUFB5/NDUFA9/NDUFC2/NDUFB6/NDUFS5/TMEM126B/NDUFA12/NDUFS3",14,"Mitochondrial energy production"
"AD_cluster3_nodes","GO:0006164","purine nucleotide biosynthetic process","30/597","236/13115",3.36e-07,4.28e-05,4.22e-05,"NDUFS1/GUCY1B1/NDUFB2/DLD/PRPS2/NDUFC1/ATP6V1A/ATP5PB/SDHB/NDUFB3/NDUFA1/NDUFA5/PPT1/PDHA1/NDUFB5/PPCDC/NDUFA9/DLAT/NDUFC2/ATP5F1A/ATP5MJ/NDUFB6/ATP5F1C/ATP5PD/PDHB/NDUFS5/ATP5MK/NDUFA12/NDUFS3/NME1",30,"Mitochondrial energy production"
"AD_cluster3_nodes","GO:0072522","purine-containing compound biosynthetic process","30/597","245/13115",7.56e-07,9.32e-05,9.18e-05,"NDUFS1/GUCY1B1/NDUFB2/DLD/PRPS2/NDUFC1/ATP6V1A/ATP5PB/SDHB/NDUFB3/NDUFA1/NDUFA5/PPT1/PDHA1/NDUFB5/PPCDC/NDUFA9/DLAT/NDUFC2/ATP5F1A/ATP5MJ/NDUFB6/ATP5F1C/ATP5PD/PDHB/NDUFS5/ATP5MK/NDUFA12/NDUFS3/NME1",30,"Mitochondrial energy production"
"AD_cluster3_nodes","GO:0006163","purine nucleotide metabolic process","46/597","476/13115",1.1e-06,0.000127078,0.000125152,"MDH1/NDUFS1/GUCY1B1/NDUFB2/DLD/GMPR2/IDH3B/PRPS2/PGK1/NDUFC1/TPI1/HMGCS1/ATP6V1A/ATP5PB/SDHB/NDUFB3/NUDT10/NDUFA1/NDUFA5/PPT1/PDHA1/LDHA/NDUFB5/PPCDC/NDUFA9/ATP1B1/ATP6V1B2/DLAT/OXSM/NDUFC2/ATP5F1A/GPD1L/ATP5MJ/NDUFB6/ATP5F1C/ATP5PD/PDHB/NDUFS5/HINT1/NUDT4/ATP5MK/NDUFA12/NUDT11/ENTPD4/NDUFS3/NME1",46,"Mitochondrial energy production"
"AD_cluster3_nodes","GO:0046034","ATP metabolic process","26/597","198/13115",1.1e-06,0.000127078,0.000125152,"NDUFS1/NDUFB2/PGK1/NDUFC1/TPI1/ATP6V1A/ATP5PB/SDHB/NDUFB3/NDUFA1/NDUFA5/LDHA/NDUFB5/NDUFA9/ATP1B1/ATP6V1B2/NDUFC2/ATP5F1A/ATP5MJ/NDUFB6/ATP5F1C/ATP5PD/NDUFS5/ATP5MK/NDUFA12/NDUFS3",26,"Mitochondrial energy production"
"AD_cluster3_nodes","GO:0009199","ribonucleoside triphosphate metabolic process","28/597","228/13115",1.67e-06,0.000187269,0.000184431,"NDUFS1/NDUFB2/PGK1/NDUFC1/TPI1/ATP6V1A/ATP5PB/SDHB/NDUFB3/NDUFA1/NDUFA5/LDHA/NDUFB5/NDUFA9/ATP1B1/ATP6V1B2/NDUFC2/ATP5F1A/ATP5MJ/NDUFB6/ATP5F1C/ATP5PD/NDUFS5/ATP5MK/NDUFA12/ENTPD4/NDUFS3/NME1",28,"Mitochondrial energy production"
"AD_cluster3_nodes","GO:0032543","mitochondrial translation","20/597","131/13115",1.84e-06,0.000200752,0.00019771,"MRPS10/MRPS35/C1QBP/MRPS30/MRPS25/MRPL35/MRPL44/MRPL47/MRPL9/MRPL17/MRPS18C/GFM1/TRMT10C/MRPS23/NGRN/MRPL30/MRPL21/MRPL42/MRPS17/MRPS21",20,"gene expression"
"AD_cluster3_nodes","GO:0033108","mitochondrial respiratory chain complex assembly","17/597","99/13115",2.09e-06,0.000221577,0.000218219,"NDUFS1/NDUFB2/NDUFC1/NDUFB3/NDUFA1/NDUFA5/NDUFB5/NDUFA9/NDUFC2/NDUFB6/NDUFS5/UQCRFS1/CHCHD7/TMEM126B/NDUFA12/LYRM7/NDUFS3",17,"Mitochondrial energy production"
"AD_cluster3_nodes","GO:0009205","purine ribonucleoside triphosphate metabolic process","27/597","221/13115",2.82e-06,0.00029123,0.000286817,"NDUFS1/NDUFB2/PGK1/NDUFC1/TPI1/ATP6V1A/ATP5PB/SDHB/NDUFB3/NDUFA1/NDUFA5/LDHA/NDUFB5/NDUFA9/ATP1B1/ATP6V1B2/NDUFC2/ATP5F1A/ATP5MJ/NDUFB6/ATP5F1C/ATP5PD/NDUFS5/ATP5MK/NDUFA12/NDUFS3/NME1",27,"Mitochondrial energy production"
"AD_cluster3_nodes","GO:0072521","purine-containing compound metabolic process","46/597","498/13115",3.77e-06,0.00037888,0.000373138,"MDH1/NDUFS1/GUCY1B1/NDUFB2/DLD/GMPR2/IDH3B/PRPS2/PGK1/NDUFC1/TPI1/HMGCS1/ATP6V1A/ATP5PB/SDHB/NDUFB3/NUDT10/NDUFA1/NDUFA5/PPT1/PDHA1/LDHA/NDUFB5/PPCDC/NDUFA9/ATP1B1/ATP6V1B2/DLAT/OXSM/NDUFC2/ATP5F1A/GPD1L/ATP5MJ/NDUFB6/ATP5F1C/ATP5PD/PDHB/NDUFS5/HINT1/NUDT4/ATP5MK/NDUFA12/NUDT11/ENTPD4/NDUFS3/NME1",46,"Mitochondrial energy production"
"AD_cluster3_nodes","GO:0009144","purine nucleoside triphosphate metabolic process","27/597","226/13115",4.33e-06,0.000423868,0.000417444,"NDUFS1/NDUFB2/PGK1/NDUFC1/TPI1/ATP6V1A/ATP5PB/SDHB/NDUFB3/NDUFA1/NDUFA5/LDHA/NDUFB5/NDUFA9/ATP1B1/ATP6V1B2/NDUFC2/ATP5F1A/ATP5MJ/NDUFB6/ATP5F1C/ATP5PD/NDUFS5/ATP5MK/NDUFA12/NDUFS3/NME1",27,"Mitochondrial energy production"
"AD_cluster3_nodes","GO:0009141","nucleoside triphosphate metabolic process","28/597","245/13115",6.82e-06,0.000651617,0.000641741,"NDUFS1/NDUFB2/PGK1/NDUFC1/TPI1/ATP6V1A/ATP5PB/SDHB/NDUFB3/NDUFA1/NDUFA5/LDHA/NDUFB5/NDUFA9/ATP1B1/ATP6V1B2/NDUFC2/ATP5F1A/ATP5MJ/NDUFB6/ATP5F1C/ATP5PD/NDUFS5/ATP5MK/NDUFA12/ENTPD4/NDUFS3/NME1",28,"Mitochondrial energy production"
"AD_cluster3_nodes","GO:0006122","mitochondrial electron transport, ubiquinol to cytochrome c","6/597","13/13115",1.13e-05,0.001054541,0.001038559,"UQCRC2/UQCRB/UQCRFS1/CYCS/UQCRH/UQCR10",6,"Mitochondrial energy production"
"AD_cluster3_nodes","GO:0006123","mitochondrial electron transport, cytochrome c to oxygen","7/597","19/13115",1.22e-05,0.001109806,0.001092986,"COX7A2/COX6B1/COX7B/COX5B/COX6C/CYCS/NDUFA4",7,"Mitochondrial energy production"
"AD_cluster3_nodes","GO:0008637","apoptotic mitochondrial changes","15/597","93/13115",1.81e-05,0.001609484,0.001585091,"GGCT/NDUFS1/VPS35/TMEM14A/PSMD10/PDCD5/FAM162A/SLC25A4/VDAC2/GHITM/MOAP1/TRIAP1/BNIP3/BLOC1S2/MLLT11",15,"Apoptosis"
"AD_cluster3_nodes","GO:0097401","synaptic vesicle lumen acidification","6/597","15/13115",3.05e-05,0.002650077,0.002609913,"ATP6V1D/ATP6V1A/ATP6V1E1/ATP6V1B2/ATP6V1C1/ATP6AP2",6,"Synapse signaling"
"AD_cluster3_nodes","GO:0140053","mitochondrial gene expression","20/597","163/13115",5.1e-05,0.004330305,0.004264676,"MRPS10/MRPS35/C1QBP/MRPS30/MRPS25/MRPL35/MRPL44/MRPL47/MRPL9/MRPL17/MRPS18C/GFM1/TRMT10C/MRPS23/NGRN/MRPL30/MRPL21/MRPL42/MRPS17/MRPS21",20,"gene expression"
"AD_cluster3_nodes","GO:0006099","tricarboxylic acid cycle","8/597","31/13115",5.47e-05,0.004543931,0.004475064,"MDH1/FH/IDH3B/SDHB/PDHA1/MRPS36/DLAT/PDHB",8,"Mitochondrial energy production"
"AD_cluster3_nodes","GO:0007006","mitochondrial membrane organization","15/597","108/13115",0.000108129,0.008788367,0.008655174,"TMEM14A/TOMM22/PDCD5/TIMM8A/AFG3L2/SLC25A4/TOMM70/VDAC2/GHITM/MOAP1/TOMM20/TOMM5/BNIP3/MTX3/BLOC1S2",15,"Others"
"AD_cluster3_nodes","GO:1904816","positive regulation of protein localization to chromosome, telomeric region","5/597","12/13115",0.000116565,0.009276623,0.009136029,"CCT7/CCT6A/CCT8/GNL3/CCT2",5,"To be removed"
"AD_cluster3_nodes","GO:0016188","synaptic vesicle maturation","7/597","26/13115",0.00012056,0.009398766,0.009256321,"ATP6V1D/SYP/ATP6V1A/ATP6V1E1/ATP6V1B2/ATP6V1C1/ATP6AP2",7,"Synapse signaling"
"AD_cluster3_nodes","GO:0070936","protein K48-linked ubiquitination","11/597","66/13115",0.000173914,0.013142528,0.012943344,"RNF216/UBE2T/UBE2A/SKP1/RNF146/TRIM32/KBTBD7/RNF6/MARCHF6/KBTBD6/PPIA",11,"intracellular trafficking"
"AD_cluster3_nodes","GO:0007008","outer mitochondrial membrane organization","5/597","13/13115",0.000182344,0.013142528,0.012943344,"TOMM22/PDCD5/TOMM70/TOMM20/TOMM5",5,"To be removed"
"AD_cluster3_nodes","GO:0045040","protein insertion into mitochondrial outer membrane","5/597","13/13115",0.000182344,0.013142528,0.012943344,"TOMM22/PDCD5/TOMM70/TOMM20/TOMM5",5,"To be removed"
"AD_cluster3_nodes","GO:0090158","endoplasmic reticulum membrane organization","5/597","13/13115",0.000182344,0.013142528,0.012943344,"LPCAT3/RTN4/VAPB/ARL6IP1/VCPIP1",5,"intracellular trafficking"
"AD_cluster3_nodes","GO:1904814","regulation of protein localization to chromosome, telomeric region","5/597","14/13115",0.000273065,0.018965611,0.018678174,"CCT7/CCT6A/CCT8/GNL3/CCT2",5,"To be removed"
